City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
368,Half Moon Bay,US,66.6,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
370,Hualmay,PE,63.57,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
371,Fairbanks,US,63.82,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
372,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
373,Susanville,US,65.12,clear sky,40.4163,-120.653,Comfort Inn & Suites
374,Verkh-Suetka,RU,62.06,light rain,53.3,80.05,
375,Ndola,ZM,72.1,broken clouds,-12.9587,28.6366,Chabanga Lodge iSpot
377,Antofagasta,CL,67.21,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
378,Totma,RU,78.37,overcast clouds,59.9747,42.7642,Varnitsy
380,Chinchani,IN,81.14,overcast clouds,19.8667,72.7,Vasantshrushti Farm
381,Laguna,US,67.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
383,Mabaruma,GY,82.63,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
384,Pangody,RU,65.17,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
385,Olafsvik,IS,53.78,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
386,Chumikan,RU,64.2,scattered clouds,54.7183,135.315,Fortuna
388,Tual,ID,78.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
389,Saryagash,KZ,84.16,clear sky,41.4511,69.1701,fatyCentre Paradise
390,Andenes,NO,56.93,broken clouds,69.3143,16.1194,Hotell Marena
391,College,US,64.8,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
392,Svetlogorsk,BY,79.77,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
393,Meshcherino,RU,77.45,light rain,55.1957,38.36,Little Village
394,West Wendover,US,81.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
395,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
397,Beloha,MG,71.37,clear sky,-25.1667,45.05,
399,Yagodnoye,RU,68.05,broken clouds,62.55,149.6667,Гостевой дом
402,Seoul,KR,83.64,light rain,37.5683,126.9778,Lotte Hotel Seoul
404,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
405,Turukhansk,RU,56.5,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
406,Duma,CN,77.25,clear sky,34.7653,108.135,永寿服务区-宾馆
407,Uruguaiana,BR,73.33,clear sky,-29.7547,-57.0883,Fares Turis Hotel
408,Tura,IN,75.69,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
409,San Juan,AR,72.01,clear sky,-31.5375,-68.5364,Hotel Provincial
410,Zell Am See,AT,73.99,scattered clouds,47.3256,12.7944,Hotel Berner Zell am See
411,Puerto Baquerizo Moreno,EC,72.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
412,Along,IN,77.49,clear sky,28.1667,94.7667,Hotel West
413,Rochester,US,70.72,overcast clouds,43.1548,-77.6156,Hyatt Regency Rochester
414,Beira,MZ,69.28,clear sky,-19.8436,34.8389,Beira Terrace Hotel
